threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.56,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.57,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.58,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.59,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.6,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.61,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.62,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.63,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.64,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.65,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.66,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.67,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.68,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.69,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.7,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.71,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.72,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.73,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.74,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.75,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.76,0.8333333333333334,0.9,0.75,0.9166666666666666,0.8181818181818182,0.7758620689655172,0.9513888888888888,18.0,2.0,22.0,6.0
0.77,0.8125,0.8947368421052632,0.7083333333333334,0.9166666666666666,0.7906976744186046,0.7391304347826086,0.9513888888888888,17.0,2.0,22.0,7.0
0.78,0.8125,0.8947368421052632,0.7083333333333334,0.9166666666666666,0.7906976744186046,0.7391304347826086,0.9513888888888888,17.0,2.0,22.0,7.0
0.79,0.8125,0.8947368421052632,0.7083333333333334,0.9166666666666666,0.7906976744186046,0.7391304347826086,0.9513888888888888,17.0,2.0,22.0,7.0
0.8,0.8125,0.8947368421052632,0.7083333333333334,0.9166666666666666,0.7906976744186046,0.7391304347826086,0.9513888888888888,17.0,2.0,22.0,7.0
0.81,0.8125,0.8947368421052632,0.7083333333333334,0.9166666666666666,0.7906976744186046,0.7391304347826086,0.9513888888888888,17.0,2.0,22.0,7.0
0.82,0.8333333333333334,0.9444444444444444,0.7083333333333334,0.9583333333333334,0.8095238095238095,0.7456140350877193,0.9513888888888888,17.0,1.0,23.0,7.0
0.83,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9513888888888888,17.0,0.0,24.0,7.0
0.84,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9513888888888888,17.0,0.0,24.0,7.0
0.85,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9513888888888888,17.0,0.0,24.0,7.0
0.86,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9513888888888888,17.0,0.0,24.0,7.0
0.87,0.8333333333333334,1.0,0.6666666666666666,1.0,0.8,0.7142857142857143,0.9513888888888888,16.0,0.0,24.0,8.0
0.88,0.8333333333333334,1.0,0.6666666666666666,1.0,0.8,0.7142857142857143,0.9513888888888888,16.0,0.0,24.0,8.0
0.89,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6756756756756757,0.9513888888888888,15.0,0.0,24.0,9.0
0.9,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6756756756756757,0.9513888888888888,15.0,0.0,24.0,9.0
0.91,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6756756756756757,0.9513888888888888,15.0,0.0,24.0,9.0
0.92,0.7708333333333334,1.0,0.5416666666666666,1.0,0.7027027027027027,0.5963302752293578,0.9513888888888888,13.0,0.0,24.0,11.0
0.93,0.7708333333333334,1.0,0.5416666666666666,1.0,0.7027027027027027,0.5963302752293578,0.9513888888888888,13.0,0.0,24.0,11.0
0.94,0.75,1.0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9513888888888888,12.0,0.0,24.0,12.0
0.95,0.7291666666666666,1.0,0.4583333333333333,1.0,0.6285714285714286,0.514018691588785,0.9513888888888888,11.0,0.0,24.0,13.0
