threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.05,0.6875,0.6153846153846154,1.0,0.375,0.7619047619047619,0.8888888888888888,0.9513888888888888,24.0,15.0,9.0,0.0
0.06,0.7291666666666666,0.6486486486486487,1.0,0.4583333333333333,0.7868852459016393,0.9022556390977443,0.9513888888888888,24.0,13.0,11.0,0.0
0.07,0.75,0.6666666666666666,1.0,0.5,0.8,0.9090909090909091,0.9513888888888888,24.0,12.0,12.0,0.0
0.08,0.7916666666666666,0.7058823529411765,1.0,0.5833333333333334,0.8275862068965517,0.9230769230769231,0.9513888888888888,24.0,10.0,14.0,0.0
0.09,0.7916666666666666,0.7058823529411765,1.0,0.5833333333333334,0.8275862068965517,0.9230769230769231,0.9513888888888888,24.0,10.0,14.0,0.0
0.1,0.7916666666666666,0.7058823529411765,1.0,0.5833333333333334,0.8275862068965517,0.9230769230769231,0.9513888888888888,24.0,10.0,14.0,0.0
0.11,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.12,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.13,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.14,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.15,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.16,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.17,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.18,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.19,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.2,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.21,0.8125,0.7272727272727273,1.0,0.625,0.8421052631578947,0.9302325581395349,0.9513888888888888,24.0,9.0,15.0,0.0
0.22,0.8333333333333334,0.75,1.0,0.6666666666666666,0.8571428571428571,0.9375,0.9513888888888888,24.0,8.0,16.0,0.0
0.23,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.24,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.25,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.26,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.27,0.875,0.8,1.0,0.75,0.8888888888888888,0.9523809523809523,0.9513888888888888,24.0,6.0,18.0,0.0
