threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.23,0.6875,0.6216216216216216,0.9583333333333334,0.4166666666666667,0.7540983606557377,0.8646616541353384,0.9618055555555556,23.0,14.0,10.0,1.0
0.24,0.6875,0.6216216216216216,0.9583333333333334,0.4166666666666667,0.7540983606557377,0.8646616541353384,0.9618055555555556,23.0,14.0,10.0,1.0
0.25,0.6875,0.6216216216216216,0.9583333333333334,0.4166666666666667,0.7540983606557377,0.8646616541353384,0.9618055555555556,23.0,14.0,10.0,1.0
0.26,0.7291666666666666,0.6571428571428571,0.9583333333333334,0.5,0.7796610169491526,0.8778625954198473,0.9618055555555556,23.0,12.0,12.0,1.0
0.27,0.7291666666666666,0.6571428571428571,0.9583333333333334,0.5,0.7796610169491526,0.8778625954198473,0.9618055555555556,23.0,12.0,12.0,1.0
0.28,0.7291666666666666,0.6571428571428571,0.9583333333333334,0.5,0.7796610169491526,0.8778625954198473,0.9618055555555556,23.0,12.0,12.0,1.0
0.29,0.7291666666666666,0.6571428571428571,0.9583333333333334,0.5,0.7796610169491526,0.8778625954198473,0.9618055555555556,23.0,12.0,12.0,1.0
0.3,0.75,0.6764705882352942,0.9583333333333334,0.5416666666666666,0.7931034482758621,0.8846153846153846,0.9618055555555556,23.0,11.0,13.0,1.0
0.31,0.7708333333333334,0.696969696969697,0.9583333333333334,0.5833333333333334,0.8070175438596491,0.8914728682170543,0.9618055555555556,23.0,10.0,14.0,1.0
0.32,0.7708333333333334,0.696969696969697,0.9583333333333334,0.5833333333333334,0.8070175438596491,0.8914728682170543,0.9618055555555556,23.0,10.0,14.0,1.0
0.33,0.8125,0.7419354838709677,0.9583333333333334,0.6666666666666666,0.8363636363636363,0.905511811023622,0.9618055555555556,23.0,8.0,16.0,1.0
0.34,0.8333333333333334,0.7666666666666667,0.9583333333333334,0.7083333333333334,0.8518518518518519,0.9126984126984127,0.9618055555555556,23.0,7.0,17.0,1.0
0.35,0.8333333333333334,0.7666666666666667,0.9583333333333334,0.7083333333333334,0.8518518518518519,0.9126984126984127,0.9618055555555556,23.0,7.0,17.0,1.0
0.36,0.8333333333333334,0.7666666666666667,0.9583333333333334,0.7083333333333334,0.8518518518518519,0.9126984126984127,0.9618055555555556,23.0,7.0,17.0,1.0
0.37,0.8541666666666666,0.7931034482758621,0.9583333333333334,0.75,0.8679245283018868,0.92,0.9618055555555556,23.0,6.0,18.0,1.0
0.38,0.8541666666666666,0.7931034482758621,0.9583333333333334,0.75,0.8679245283018868,0.92,0.9618055555555556,23.0,6.0,18.0,1.0
0.39,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.4,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.41,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.42,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.43,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.44,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.45,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.46,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9618055555555556,23.0,5.0,19.0,1.0
0.47,0.8958333333333334,0.8518518518518519,0.9583333333333334,0.8333333333333334,0.9019607843137255,0.9349593495934959,0.9618055555555556,23.0,4.0,20.0,1.0
0.48,0.8958333333333334,0.8518518518518519,0.9583333333333334,0.8333333333333334,0.9019607843137255,0.9349593495934959,0.9618055555555556,23.0,4.0,20.0,1.0
0.49,0.8958333333333334,0.8518518518518519,0.9583333333333334,0.8333333333333334,0.9019607843137255,0.9349593495934959,0.9618055555555556,23.0,4.0,20.0,1.0
0.5,0.8958333333333334,0.8518518518518519,0.9583333333333334,0.8333333333333334,0.9019607843137255,0.9349593495934959,0.9618055555555556,23.0,4.0,20.0,1.0
0.51,0.9166666666666666,0.8846153846153846,0.9583333333333334,0.875,0.92,0.9426229508196722,0.9618055555555556,23.0,3.0,21.0,1.0
0.52,0.9166666666666666,0.8846153846153846,0.9583333333333334,0.875,0.92,0.9426229508196722,0.9618055555555556,23.0,3.0,21.0,1.0
0.53,0.9375,0.92,0.9583333333333334,0.9166666666666666,0.9387755102040817,0.9504132231404959,0.9618055555555556,23.0,2.0,22.0,1.0
0.54,0.9375,0.92,0.9583333333333334,0.9166666666666666,0.9387755102040817,0.9504132231404959,0.9618055555555556,23.0,2.0,22.0,1.0
0.55,0.9375,0.92,0.9583333333333334,0.9166666666666666,0.9387755102040817,0.9504132231404959,0.9618055555555556,23.0,2.0,22.0,1.0
0.56,0.9375,0.92,0.9583333333333334,0.9166666666666666,0.9387755102040817,0.9504132231404959,0.9618055555555556,23.0,2.0,22.0,1.0
0.57,0.9375,0.9565217391304348,0.9166666666666666,0.9583333333333334,0.9361702127659575,0.9243697478991597,0.9618055555555556,22.0,1.0,23.0,2.0
0.58,0.9375,0.9565217391304348,0.9166666666666666,0.9583333333333334,0.9361702127659575,0.9243697478991597,0.9618055555555556,22.0,1.0,23.0,2.0
0.59,0.9375,0.9565217391304348,0.9166666666666666,0.9583333333333334,0.9361702127659575,0.9243697478991597,0.9618055555555556,22.0,1.0,23.0,2.0
0.6,0.9375,0.9565217391304348,0.9166666666666666,0.9583333333333334,0.9361702127659575,0.9243697478991597,0.9618055555555556,22.0,1.0,23.0,2.0
0.61,0.9375,0.9565217391304348,0.9166666666666666,0.9583333333333334,0.9361702127659575,0.9243697478991597,0.9618055555555556,22.0,1.0,23.0,2.0
0.62,0.9166666666666666,0.9545454545454546,0.875,0.9583333333333334,0.9130434782608695,0.8898305084745762,0.9618055555555556,21.0,1.0,23.0,3.0
0.63,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.64,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.65,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.66,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.67,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.68,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.69,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.7,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.71,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.72,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.73,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.74,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8974358974358975,0.9618055555555556,21.0,0.0,24.0,3.0
0.75,0.8958333333333334,1.0,0.7916666666666666,1.0,0.8837209302325582,0.8260869565217391,0.9618055555555556,19.0,0.0,24.0,5.0
0.76,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9618055555555556,17.0,0.0,24.0,7.0
0.77,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9618055555555556,17.0,0.0,24.0,7.0
0.78,0.8541666666666666,1.0,0.7083333333333334,1.0,0.8292682926829268,0.7522123893805309,0.9618055555555556,17.0,0.0,24.0,7.0
0.79,0.8333333333333334,1.0,0.6666666666666666,1.0,0.8,0.7142857142857143,0.9618055555555556,16.0,0.0,24.0,8.0
0.8,0.8333333333333334,1.0,0.6666666666666666,1.0,0.8,0.7142857142857143,0.9618055555555556,16.0,0.0,24.0,8.0
0.81,0.7916666666666666,1.0,0.5833333333333334,1.0,0.7368421052631579,0.6363636363636364,0.9618055555555556,14.0,0.0,24.0,10.0
